frame,vertice,x,y
215,3,940,276
216,0,956,1076
216,1,428,584
216,2,856,272
216,3,940,276
217,0,956,1076
217,1,428,584
217,2,856,272
217,3,940,276
218,0,956,1076
218,1,428,584
218,2,856,272
218,3,940,276
219,0,956,1076
219,1,428,584
219,2,856,272
219,3,940,276
220,0,980,1076
220,1,432,580
220,2,820,300
221,0,980,1076
221,1,432,580
221,2,820,300
222,0,980,1076
222,1,432,580
222,2,820,300
223,0,980,1076
223,1,432,580
223,2,820,300
224,0,980,1076
224,1,432,580
224,2,820,300
225,0,980,1076
225,1,432,580
225,2,820,300
226,0,980,1076
226,1,432,580
226,2,820,300
227,0,980,1076
227,1,432,580
227,2,820,300
228,0,980,1076
228,1,432,580
228,2,820,300
229,0,980,1076
229,1,432,580
229,2,820,300
230,0,1032,1076
230,1,436,584
230,2,868,264
230,3,952,272
231,0,1032,1076
231,1,436,584
231,2,868,264
231,3,952,272
232,0,1032,1076
232,1,436,584
232,2,868,264
232,3,952,272
233,0,1032,1076
233,1,436,584
233,2,868,264
233,3,952,272
234,0,1032,1076
234,1,436,584
234,2,868,264
234,3,952,272
235,0,1032,1076
235,1,436,584
235,2,868,264
235,3,952,272
236,0,1032,1076
236,1,436,584
236,2,868,264
236,3,952,272
237,0,1032,1076
237,1,436,584
237,2,868,264
237,3,952,272
238,0,1032,1076
238,1,436,584
238,2,868,264
238,3,952,272
239,0,1032,1076
239,1,436,584
239,2,868,264
239,3,952,272
240,0,944,260
240,1,708,780
240,2,440,576
240,3,864,260
241,0,944,260
241,1,708,780
241,2,440,576
241,3,864,260
242,0,944,260
242,1,708,780
242,2,440,576
242,3,864,260
243,0,944,260
243,1,708,780
243,2,440,576
243,3,864,260
244,0,944,260
244,1,708,780
244,2,440,576
244,3,864,260
245,0,944,260
245,1,708,780
245,2,440,576
245,3,864,260
246,0,944,260
246,1,708,780
246,2,440,576
246,3,864,260
247,0,944,260
247,1,708,780
247,2,440,576
247,3,864,260
248,0,944,260
248,1,708,780
248,2,440,576
248,3,864,260
249,0,944,260
249,1,708,780
249,2,440,576
249,3,864,260
