frame,vertice,x,y
289,4,556,160
290,0,656,1068
290,1,480,1096
290,2,336,1012
290,3,0,196
290,4,552,144
291,0,656,1068
291,1,480,1096
291,2,336,1012
291,3,0,196
291,4,552,144
292,0,656,1068
292,1,480,1096
292,2,336,1012
292,3,0,196
292,4,552,144
293,0,656,1068
293,1,480,1096
293,2,336,1012
293,3,0,196
293,4,552,144
294,0,656,1068
294,1,480,1096
294,2,336,1012
294,3,0,196
294,4,552,144
295,0,656,1068
295,1,480,1096
295,2,336,1012
295,3,0,196
295,4,552,144
296,0,656,1068
296,1,480,1096
296,2,336,1012
296,3,0,196
296,4,552,144
297,0,656,1068
297,1,480,1096
297,2,336,1012
297,3,0,196
297,4,552,144
298,0,656,1068
298,1,480,1096
298,2,336,1012
298,3,0,196
298,4,552,144
299,0,656,1068
299,1,480,1096
299,2,336,1012
299,3,0,196
299,4,552,144
300,0,656,1068
300,1,476,1096
300,2,332,1008
300,3,240,296
300,4,360,160
300,5,552,144
301,0,656,1068
301,1,476,1096
301,2,332,1008
301,3,240,296
301,4,360,160
301,5,552,144
302,0,656,1068
302,1,476,1096
302,2,332,1008
302,3,240,296
302,4,360,160
302,5,552,144
303,0,656,1068
303,1,476,1096
303,2,332,1008
303,3,240,296
303,4,360,160
303,5,552,144
304,0,656,1068
304,1,476,1096
304,2,332,1008
304,3,240,296
304,4,360,160
304,5,552,144
305,0,656,1068
305,1,476,1096
305,2,332,1008
305,3,240,296
305,4,360,160
305,5,552,144
306,0,656,1068
306,1,476,1096
306,2,332,1008
306,3,240,296
306,4,360,160
306,5,552,144
307,0,656,1068
307,1,476,1096
307,2,332,1008
307,3,240,296
307,4,360,160
307,5,552,144
308,0,656,1068
308,1,476,1096
308,2,332,1008
308,3,240,296
308,4,360,160
308,5,552,144
309,0,656,1068
309,1,476,1096
309,2,332,1008
309,3,240,296
309,4,360,160
309,5,552,144
310,0,656,1068
310,1,476,1096
310,2,336,1012
310,3,0,196
310,4,552,144
311,0,656,1068
311,1,476,1096
311,2,336,1012
311,3,0,196
311,4,552,144
312,0,656,1068
312,1,476,1096
312,2,336,1012
312,3,0,196
312,4,552,144
313,0,656,1068
313,1,476,1096
313,2,336,1012
313,3,0,196
313,4,552,144
314,0,656,1068
314,1,476,1096
314,2,336,1012
314,3,0,196
314,4,552,144
315,0,656,1068
315,1,476,1096
315,2,336,1012
315,3,0,196
315,4,552,144
316,0,656,1068
316,1,476,1096
316,2,336,1012
316,3,0,196
316,4,552,144
317,0,656,1068
317,1,476,1096
317,2,336,1012
317,3,0,196
317,4,552,144
318,0,656,1068
318,1,476,1096
318,2,336,1012
318,3,0,196
318,4,552,144
319,0,656,1068
319,1,476,1096
319,2,336,1012
319,3,0,196
319,4,552,144
320,0,656,1068
320,1,476,1096
320,2,308,1012
320,3,0,196
320,4,552,144
321,0,656,1068
321,1,476,1096
