frame,id_objeto,equipo,pixel_x,pixel_y,cenital_x,cenital_y
88,ball,-1,638,984,402,12
88,robot_0,0,562,1040,420,51
88,robot_1,0,541,173,15,9
88,robot_2,1,317,930,363,164
89,ball,-1,636,983,402,12
89,robot_0,0,566,1037,419,49
89,robot_1,0,540,177,17,10
89,robot_2,1,317,930,363,164
90,ball,-1,634,982,401,13
90,robot_0,0,566,1025,414,49
90,robot_1,0,539,176,16,10
90,robot_2,1,317,930,363,164
91,ball,-1,633,981,401,14
91,robot_0,0,576,1032,417,44
91,robot_1,0,538,172,14,11
91,robot_2,1,317,930,363,164
92,ball,-1,631,981,400,15
92,robot_0,0,578,1028,416,43
92,robot_1,0,537,166,10,11
92,robot_2,1,317,930,363,164
93,ball,-1,630,980,400,15
93,robot_0,0,578,1024,414,43
93,robot_1,0,546,154,4,5
93,robot_2,1,317,930,363,164
94,ball,-1,629,980,400,16
94,robot_0,0,579,1021,413,42
94,robot_1,0,531,151,2,13
94,robot_2,1,317,930,363,164
95,ball,-1,628,979,400,16
95,robot_0,0,578,1016,411,42
95,robot_1,0,526,147,0,16
95,robot_2,1,317,930,363,164
96,ball,-1,626,979,399,17
96,robot_0,0,576,1012,410,43
96,robot_1,0,523,138,-5,17
96,robot_2,1,317,930,363,164
97,ball,-1,624,978,399,18
97,robot_0,0,575,1008,408,43
97,robot_1,0,520,132,-9,18
97,robot_2,1,317,930,363,164
98,ball,-1,623,978,399,18
98,robot_0,0,572,1004,406,45
98,robot_1,0,517,130,-10,20
98,robot_2,1,317,930,363,164
99,ball,-1,622,978,399,19
99,robot_0,0,565,992,401,47
99,robot_1,0,517,127,-12,20
99,robot_2,1,317,930,363,164
100,ball,-1,620,978,399,20
100,robot_0,0,559,984,398,50
100,robot_1,0,518,125,-13,19
100,robot_2,1,317,930,363,164
101,ball,-1,619,978,399,20
101,robot_0,0,559,982,397,50
101,robot_1,0,522,123,-14,16
101,robot_2,1,317,930,363,164
102,ball,-1,618,978,399,21
102,robot_0,0,561,985,398,49
102,robot_1,0,528,124,-13,13
102,robot_2,1,317,930,363,164
103,ball,-1,617,978,399,21
103,robot_0,0,558,980,396,50
103,robot_1,0,536,121,-14,8
103,robot_2,1,317,930,363,164
104,ball,-1,616,978,398,22
104,robot_0,0,552,971,392,52
104,robot_1,0,542,122,-13,5
104,robot_2,1,317,930,363,164
105,ball,-1,614,978,398,23
105,robot_0,0,551,970,392,53
